"week #","location","site","set","plug #","cover"
1,"far beach","far from mangroves",1,1,42.2333333333333
1,"far beach","far from mangroves",1,2,66.7966666666667
1,"far beach","far from mangroves",1,3,37.4533333333333
1,"far beach","far from mangroves",1,4,92.4633333333333
1,"far beach","far from mangroves",1,5,39.18
1,"far beach","far from mangroves",1,6,96.4533333333333
1,"far beach","far from mangroves",2,1,89.0966666666667
1,"far beach","far from mangroves",2,2,93.45
1,"far beach","far from mangroves",2,3,91.9633333333333
1,"far beach","far from mangroves",2,4,96.9966666666667
1,"far beach","far from mangroves",2,5,90.51
1,"far beach","far from mangroves",2,6,87.3766666666667
1,"far beach","far from mangroves",3,1,20.7466666666667
1,"far beach","far from mangroves",3,2,16.1433333333333
1,"far beach","far from mangroves",3,3,21.44
1,"far beach","far from mangroves",3,4,13.41
1,"far beach","far from mangroves",3,5,30.9133333333333
1,"far beach","far from mangroves",3,6,18.75
1,"far beach","near mangroves",1,1,8.45
1,"far beach","near mangroves",1,2,6.96666666666667
1,"far beach","near mangroves",1,3,5.47666666666667
1,"far beach","near mangroves",1,4,5.63
1,"far beach","near mangroves",1,5,6.74333333333333
1,"far beach","near mangroves",1,6,9.11333333333333
1,"far beach","near mangroves",2,1,8.45
1,"far beach","near mangroves",2,2,6.21666666666667
1,"far beach","near mangroves",2,3,5.93
1,"far beach","near mangroves",2,4,5.1
1,"far beach","near mangroves",2,5,6.99666666666667
1,"far beach","near mangroves",2,6,4.29666666666667
1,"far beach","near mangroves",3,1,6.52
1,"far beach","near mangroves",3,2,3.55
1,"far beach","near mangroves",3,3,4.81666666666667
1,"far beach","near mangroves",3,4,3.40333333333333
1,"far beach","near mangroves",3,5,5.32666666666667
1,"far beach","near mangroves",3,6,4.89
1,"near beach","far from mangroves",1,1,95.93
1,"near beach","far from mangroves",1,2,90.7566666666667
1,"near beach","far from mangroves",1,3,82.0266666666667
1,"near beach","far from mangroves",1,4,94.8233333333333
1,"near beach","far from mangroves",1,5,95.5333333333333
1,"near beach","far from mangroves",1,6,81.2266666666667
1,"near beach","far from mangroves",2,1,62.7233333333333
