SitePlot,pd_AggregateReef,pd_AggregatedPatchReefs,pd_SandwithScatteredCoralandRock,pd_Seagrass,pland_AggregateReef,pland_AggregatedPatchReefs,pland_SandwithScatteredCoralandRock,pland_Seagrass,SitePlotNew
M1005,31.32613659,62.65227318,62.65227318,62.65227318,0.365651603,18.24258699,67.23990173,6.478889333,M1081
M1006,62.73829953,62.73829953,62.73829953,31.36914976,1.802162595,18.8111448,68.51078437,2.420046913,M1082
M1007,31.30646161,62.61292323,62.61292323,62.61292323,1.267557383,18.91629554,59.8663926,7.148566861,M1083
M1008,62.67733982,62.67733982,62.67733982,62.67733982,2.251943301,19.79309556,60.57384545,4.275262917,M1084
M1203,125.5196861,125.5196861,156.8996076,62.75984304,13.66680021,19.73330281,17.1006696,33.81789046,M1253
M1242,93.94083987,31.31361329,156.5680665,62.62722658,18.28669332,19.04625928,13.41519132,26.44774415,M1255
M1260,125.2401482,62.62007409,156.5501852,62.62007409,17.66788488,19.07263591,14.62425765,27.33554134,M1254
M1292,93.93011113,31.31003704,156.5501852,62.62007409,15.76633166,19.04408406,15.04111466,32.97738693,M1256
M1506,188.2579807,31.37633011,282.386971,31.37633011,3.30758226,39.69098712,8.406294707,35.75393419,M1561
M1507,156.523371,31.30467421,250.4373936,31.30467421,3.831001998,41.26177562,8.40422495,31.09334856,M1562
M1508,125.2687614,31.31719035,250.5375228,93.95157106,7.916381083,43.81996801,10.42951793,24.0975554,M1563
M1509,125.4550666,31.36376666,282.2738999,31.36376666,7.213133509,41.45978721,10.56515273,30.05376959,M1564
M1762,31.39249792,94.17749377,62.78499584,31.39249792,0.572540937,17.56555594,23.53715791,7.317073171,M1789
M1763,31.32076823,93.9623047,93.9623047,31.32076823,1.399520165,18.43367988,28.23032103,7.306066491,M1790
M1764,31.32076823,93.9623047,62.64153647,31.32076823,1.947903576,19.58185765,35.03941506,7.57454587,M1791
M1765,31.37453472,62.74906943,62.74906943,31.37453472,2.471961547,21.20622568,41.13069352,6.454566262,M1792
M2869,93.95693758,93.95693758,187.9138752,31.31897919,6.31176101,36.72245388,30.57062889,19.14662706,M2873
M2870,62.62365013,93.93547519,187.8709504,31.31182506,5.64216778,34.69247901,37.15378905,15.72725715,M2874
M2872,62.64511496,62.64511496,125.2902299,93.96767244,2.707797772,32.9562982,39.9143102,19.20594116,M2876
M3837,156.8457488,62.73829953,156.8457488,62.73829953,18.27907775,17.64975113,14.66331026,19.73225013,M3857
M3838,125.3188661,62.65943303,125.3188661,31.32971651,7.993828924,13.34209474,12.24501457,56.27107022,M3858
M3839,156.5859518,62.63438071,125.2687614,62.63438071,17.61480466,17.45487777,14.92460589,27.86726068,M3859
M3840,125.211548,62.605774,156.514435,31.302887,16.93879881,17.5953414,14.7579356,32.15916876,M3860
M4338,125.1972528,62.59862641,281.6938188,93.89793961,10.03539217,29.59241923,9.464550748,13.20927046,M4365
M4378,125.534055,62.7670275,219.6845962,62.7670275,10.99536375,25.47078015,8.419666877,14.01179097,M4366
M4380,156.8906286,62.75625143,251.0250057,282.4031314,11.70882454,39.93933845,13.13379879,3.668307199,M4367
M4381,156.7112635,62.6845054,219.3957689,125.3690108,10.46644564,31.13638962,10.5121756,8.894478107,M4368
M4501,62.66659452,62.66659452,62.66659452,31.33329726,3.303045888,20.97262701,48.53991657,4.828847363,M4585
M4502,31.33508794,94.00526381,62.67017587,31.33508794,5.080580638,21.25957252,39.65024574,4.343353526,M4586
M4503,31.32434693,93.9730408,62.64869387,31.32434693,7.055530165,20.50959781,43.48720293,2.736517367,M4587
M4504,31.32792645,93.98377935,62.6558529,31.32792645,7.324877157,21.16329562,35.39595475,2.988229917,M4588
M4849,93.98914954,125.3188661,219.3080156,62.65943303,19.43317525,24.17004743,15.02199874,19.96457345,M4849
M4891,125.3475153,125.3475153,156.6843941,62.67375764,16.71143625,23.67834486,16.04275019,25.65011145,M4850
M4895,125.5268701,188.2903052,156.9085877,62.76343506,18.98466117,20.43841575,14.9896978,22.67628205,M4851
M4896,125.3475153,125.3475153,156.6843941,62.67375764,20.39206721,20.40921301,13.30513802,19.82625593,M4852
M7310,31.35121326,94.05363978,31.35121326,NA,9.120018297,25.17010692,29.63005318,NA,M7378
M7311,31.32255748,62.64511496,62.64511496,NA,9.111682376,19.98857469,38.80034276,NA,M7379
M7312,31.37633011,62.75266022,94.12899034,NA,9.12732475,20.81258941,28.24034335,NA,M7380
M7309,31.29752661,93.89257984,31.29752661,NA,9.104400936,23.41457846,35.40156402,NA,M7377
M7421,62.69525684,94.04288526,125.3905137,NA,16.90012006,26.34497742,9.404836773,NA,M7493
M7422,62.63080344,93.94620516,125.2616069,NA,18.2363356,29.61334171,12.8733794,NA,M7494
M7423,62.6558529,93.98377935,93.98377935,NA,15.63249914,31.37927094,19.2206605,NA,M7495
M7424,93.94083987,93.94083987,125.2544532,NA,14.31182182,27.83552256,20.00571102,NA,M7496
M0873,94.13437714,31.37812571,282.4031314,31.37812571,8.332379535,36.56861623,22.55923086,23.46915417,M0869
M0874,94.13437714,31.37812571,282.4031314,31.37812571,8.332379535,36.56861623,22.55923086,23.46915417,M0870
M0875,125.2258465,31.30646161,313.0646161,31.30646161,9.443873473,34.70937536,17.80290054,24.59746489,M0871
M0876,125.2902299,31.32255748,250.5804599,31.32255748,9.922879177,32.93916024,15.37275064,23.93601828,M0872
T0473,31.37453472,31.37453472,62.74906943,156.8726736,19.82719158,64.71160449,0.62371252,3.433279927,T0405
T0474,31.3404612,31.3404612,125.3618448,94.0213836,21.86338954,57.13632466,1.86338954,6.196056016,T0406
T0475,31.37992152,31.37992152,125.5196861,62.75984304,24.48348881,48.56063641,3.010358839,10.22148458,T0407
T0476,62.64511496,31.32255748,125.2902299,62.64511496,27.19223079,40.34847187,3.33618966,14.77863468,T0408
T0158,NA,31.32076823,31.32076823,NA,NA,95.91568605,3.895807152,NA,T0114
T0160,NA,31.31719035,31.31719035,NA,NA,93.85423806,6.145761937,NA,T0115
T0168,NA,31.30824923,31.30824923,NA,NA,94.67252898,5.327471022,NA,T0116
T2069,31.38351375,31.38351375,NA,31.38351375,3.342682159,90.52143552,NA,1.505351726,T2009
T2070,31.302887,31.302887,NA,31.302887,2.369262389,90.72276776,NA,1.918246175,T2010
T2071,31.32255748,31.32255748,31.32255748,62.64511496,0.799771494,95.43558983,0.302770637,0.319908598,T2011
T2072,31.302887,31.302887,31.302887,31.302887,0.719342316,94.11395296,0.165562914,0.936286823,T2012
T2210,62.7670275,94.15054125,125.534055,NA,5.019747009,68.25596703,5.964169195,NA,T2234
T2211,62.65227318,125.3045464,156.6306829,31.32613659,5.890418785,65.54304976,5.804719191,0.765583043,T2235
T2212,62.64869387,125.2973877,156.6217347,31.32434693,6.735603291,60.55758684,6.050045704,2.719378428,T2236
T2209,62.74906943,94.12360415,156.8726736,31.37453472,5.607690547,64.72304875,5.413138018,1.499198901,T2233
T2361,31.38890364,31.38890364,31.38890364,NA,0.904511106,94.29814518,4.574078315,NA,T2345
T2369,31.34942074,62.69884148,31.34942074,NA,3.613493425,84.40251572,6.918238994,NA,T2346
T2374,31.32076823,31.32076823,31.32076823,NA,2.336341826,90.02056438,5.69519022,NA,T2347
T2378,31.33508794,31.33508794,62.67017587,31.33508794,2.537432849,86.24985713,3.434678249,0.222882615,T2348
T2463,31.30646161,31.30646161,93.91938484,NA,5.93239694,83.53888318,6.400593811,NA,T2429
T2464,31.33508794,31.33508794,156.6754397,NA,5.937821465,77.02023088,5.657789462,NA,T2430
T2477,31.33687882,31.33687882,125.3475153,NA,5.938160828,77.54472195,5.555238041,NA,T2431
T2479,62.62722658,31.31361329,125.2544532,NA,5.985151342,79.91433467,5.790976585,NA,T2432
T2645,62.63795838,125.2759168,125.2759168,NA,5.637744902,70.15479522,5.87193694,NA,T2641
T2646,62.70959784,94.06439676,188.1287935,NA,6.684965975,72.25939269,4.837879568,NA,T2642
T2647,62.62365013,156.5591253,62.62365013,NA,7.812232311,75.6324596,5.476557592,NA,T2643
T2648,125.3833452,31.34583631,62.69167262,NA,9.678710268,78.53876058,6.871712783,NA,T2644
T3521,31.36556082,94.09668246,156.8278041,125.4622433,28.22492992,13.92940907,3.992906584,40.75281734,T3501
T3540,31.31182506,62.62365013,156.5591253,62.62365013,29.31871395,22.94557707,4.825538233,30.74638798,T3502
T3551,31.30646161,62.61292323,156.5323081,62.61292323,27.28674203,20.81763161,3.625670892,37.01039169,T3503
T3552,31.30824923,62.61649845,156.5412461,62.61649845,28.27613773,21.78952778,4.408153943,33.97476161,T3504
T3713,31.31540172,31.31540172,31.31540172,NA,0.593980239,91.80992632,7.596093438,NA,T3717
T3714,31.37094454,31.37094454,31.37094454,NA,2.105504062,90.28492963,7.609566312,NA,T3718
T3715,31.29752661,62.59505322,31.29752661,NA,0.06849706,92.33974542,7.59175752,NA,T3719
T3716,NA,31.31897919,31.31897919,NA,NA,92.4887188,7.511281202,NA,T3720
T3965,62.74547905,125.4909581,125.4909581,31.37273953,6.608685701,54.55741832,5.916347199,5.481489958,T3937
T3967,62.63080344,125.2616069,125.2616069,31.31540172,4.90033697,51.10514592,5.871266206,7.676052316,T3938
