SitePlot,mpa_distance,mang,land,inlet,SitePlotNew
MAG0873,2034.388144,266.287573,109.7212976,1324.683126,M0869
MAG0874,2034.388144,266.287573,109.7212976,1324.683126,M0870
MAG0875,2023.095933,277.7870617,99.54223754,1309.879645,M0871
MAG0876,2016.430335,285.0246349,91.21402935,1300.076481,M0872
MAG105,2097.2120410000002,233.3819346,196.5642132,1441.757609,M1081
MAG106,2116.891487,220.6561649,194.0565454,1463.28668,M1082
MAG107,2088.029323,249.0454022,214.6975868,1439.40695,M1083
MAG108,2103.000459,239.1394786,212.4265744,1455.293359,M1084
MAG123,1427.187997,877.1152809,62.29006592,833.9128132,M1253
MAG1242,1420.26994,881.8138221,43.5102955,813.7106916,M1255
MAG1260,1415.076939,888.0918804,46.50988795,818.131938,M1254
MAG1292,1430.327138,872.5342999,56.85981864,827.3259677,M1256
MAG156,1731.641464,569.0560752,149.7904879,1051.789863,M1561
MAG157,1745.574782,555.1171729,147.0275181,1063.797814,M1562
MAG158,1744.688059,556.1318175,132.0930984,1055.874999,M1563
MAG159,1730.108557,570.667943,136.0064953,1043.739376,M1564
MAG1762,2042.438659,326.977777,298.7169321,1426.356316,M1789
MAG1763,2052.32608,313.6143316,286.3931065,1431.649415,M1790
MAG1764,2060.721421,298.4382345,269.9157967,1433.514249,M1791
MAG1765,2075.367127,280.5702426,253.438169,1442.825357,M1792
MAG2870,2067.097637,236.4447252,119.8863658,1367.440147,M2873
MAG2869,2055.087782,246.6833459,119.762413,1351.542184,M2874
MAG2872,2054.991825,250.4750076,137.4457575,1361.030515,M2876
MAG3837,1435.988547,864.6917539,51.31731538,803.1035808,M3857
MAG3838,1512.180355,788.716294,120.8705592,871.1718057,M3858
MAG3839,1452.098766,848.6346466,66.95305779,818.8935233,M3859
MAG3840,1452.108447,848.8769,67.32266642,825.1422826,M3860
MAG4338,1823.622118,479.602051,73.59611635,1112.423764,M4365
MAG4378,1838.647277,465.9888839,59.32525121,1121.861619,M4366
MAG4380,1777.711666,526.2442135,84.827978,1067.246437,M4367
MAG4381,1815.452278,488.9274245,67.59767839,1100.924213,M4368
MAG451,2093.287305,259.9736305,232.8279548,1455.2077,M4585
MAG452,2088.279687,274.2252223,247.068884,1457.445346,M4586
MAG453,2102.194803,261.5095083,234.3665898,1469.107209,M4587
MAG454,2091.1021,278.748471,251.619312,1464.308487,M4588
MAG4849,1391.717027,914.2493254,55.76340495,816.869084,M4849
MAG4891,1406.283755,899.7591047,60.59439402,827.5636006,M4850
MAG4895,1400.751917,903.4352306,45.34050522,814.0143494,M4851
MAG4896,1394.845471,908.7566154,38.09891856,806.2116582,M4852
MAG739,2292.237572,95.32007025,72.48620683,1624.244755,M7377
MAG7310,2305.78507,93.89763066,70.71458841,1638.164439,M7378
MAG7311,2282.266859,89.99956802,67.67701454,1611.447813,M7379
MAG7312,2297.188176,74.1469758,51.49196142,1621.79015,M7380
MAG7421,2122.491244,298.9305134,273.2324645,1516.462704,M7493
MAG7422,2142.007363,286.6568813,261.3336353,1534.034512,M7494
MAG7423,2146.440696,273.0054377,247.5710788,1532.80297,M7495
MAG7424,2127.916715,279.2043175,253.320245,1513.169116,M7496
TAM0158,752.9818975,1426.567486,218.9507784,469.8701721,T0114
TAM0160,771.5328687,1432.619444,207.0498778,466.4958732,T0115
TAM0168,761.1740471,1439.259154,222.3360541,479.0414147,T0116
TAM0473,655.207963,1397.157592,292.5451248,497.6915257,T0405
TAM0474,644.0775675,1388.723486,298.4768318,496.6154785,T0406
