"SitePlot","Site","Plot","Location","Common","MaxN","PA","SitePlotNew","Avg_rugosity","Rugosity_variance"
"M0873","M08","73","M","Graysby",4,1,"M0869",1.23744872344062,0.00914695273689883
"M0873","M08","73","M","Coney",0,0,"M0869",1.23744872344062,0.00914695273689883
"M0874","M08","74","M","Graysby",2,1,"M0870",1.03594268355448,0.000455551544638589
"M0874","M08","74","M","Coney",0,0,"M0870",1.03594268355448,0.000455551544638589
"M0875","M08","75","M","Graysby",2,1,"M0871",1.3108597657409,0.00628305571179994
"M0875","M08","75","M","Coney",0,0,"M0871",1.3108597657409,0.00628305571179994
"M0876","M08","76","M","Graysby",3,1,"M0872",1.31605005613466,0.0113302254403821
"M0876","M08","76","M","Coney",0,0,"M0872",1.31605005613466,0.0113302254403821
"M1005","M10","05","M","Graysby",0,0,"M1081",1.07000522818575,0.000773553191957711
"M1005","M10","05","M","Coney",0,0,"M1081",1.07000522818575,0.000773553191957711
"M1006","M10","06","M","Graysby",0,0,"M1082",1.04248899603309,0.000273005026675029
"M1006","M10","06","M","Coney",0,0,"M1082",1.04248899603309,0.000273005026675029
"M1007","M10","07","M","Graysby",2,1,"M1083",1.11225883918166,0.00130517122480165
"M1007","M10","07","M","Coney",1,1,"M1083",1.11225883918166,0.00130517122480165
"M1203","M12","03","M","Graysby",2,1,"M1255",NA,NA
"M1203","M12","03","M","Coney",0,0,"M1255",NA,NA
"M1242","M12","42","M","Graysby",2,1,"M1253",NA,NA
"M1242","M12","42","M","Coney",0,0,"M1253",NA,NA
"M1260","M12","60","M","Graysby",1,1,"M1254",1.20569043279616,0.00719435635808072
"M1260","M12","60","M","Coney",0,0,"M1254",1.20569043279616,0.00719435635808072
"M1292","M12","92","M","Graysby",2,1,"M1256",1.18297684894883,0.00429722669878039
"M1292","M12","92","M","Coney",0,0,"M1256",1.18297684894883,0.00429722669878039
"M1506","M15","06","M","Graysby",3,1,"M1561",NA,NA
"M1506","M15","06","M","Coney",0,0,"M1561",NA,NA
"M1508","M15","08","M","Graysby",3,1,"M1563",NA,NA
"M1508","M15","08","M","Coney",0,0,"M1563",NA,NA
"M1509","M15","09","M","Graysby",1,1,"M1564",1.16142642412736,0.00193326311870216
"M1509","M15","09","M","Coney",0,0,"M1564",1.16142642412736,0.00193326311870216
"M1762","M17","62","M","Graysby",1,1,"M1789",1.19615492439035,0.00353471492960001
"M1762","M17","62","M","Coney",0,0,"M1789",1.19615492439035,0.00353471492960001
"M1764","M17","64","M","Graysby",1,1,"M1791",NA,NA
"M1764","M17","64","M","Coney",1,1,"M1791",NA,NA
"M1765","M17","65","M","Graysby",1,1,"M1792",NA,NA
"M1765","M17","65","M","Coney",1,1,"M1792",NA,NA
"M2870","M28","70","M","Graysby",1,1,"M2874",1.17213151498135,0.00745509305645766
"M2870","M28","70","M","Coney",0,0,"M2874",1.17213151498135,0.00745509305645766
"M3837","M38","37","M","Graysby",2,1,"M3857",1.08814448998864,0.00678919739056489
"M3837","M38","37","M","Coney",0,0,"M3857",1.08814448998864,0.00678919739056489
"M3839","M38","39","M","Graysby",3,1,"M3859",1.24622223139008,0.00869867310345023
"M3839","M38","39","M","Coney",0,0,"M3859",1.24622223139008,0.00869867310345023
"M3840","M38","40","M","Graysby",5,1,"M3860",1.28337852191687,0.0185364607444754
"M3840","M38","40","M","Coney",0,0,"M3860",1.28337852191687,0.0185364607444754
