"SitePlot","Site","Plot","Location","Common","Taxa","MaxN","SitePlotNew"
"M0873","M08","73","M","Graysby","Grouper",4,"M0869"
"M0873","M08","73","M","Yellowtail","Snapper",5,"M0869"
"M0874","M08","74","M","Graysby","Grouper",2,"M0870"
"M0874","M08","74","M","Lane","Snapper",2,"M0870"
"M0874","M08","74","M","Red Hind","Grouper",2,"M0870"
"M0874","M08","74","M","Yellowtail","Snapper",12,"M0870"
"M0875","M08","75","M","Graysby","Grouper",2,"M0871"
"M0875","M08","75","M","Red Hind","Grouper",3,"M0871"
"M0875","M08","75","M","Yellowtail","Snapper",10,"M0871"
"M0876","M08","76","M","Graysby","Grouper",3,"M0872"
"M0876","M08","76","M","Red Hind","Grouper",2,"M0872"
"M0876","M08","76","M","Yellowtail","Snapper",14,"M0872"
"M1005","M10","05","M","Mutton","Snapper",9,"M1081"
"M1005","M10","05","M","Red Hind","Grouper",1,"M1081"
"M1005","M10","05","M","Yellowtail","Snapper",5,"M1081"
"M1006","M10","06","M","Yellowtail","Snapper",2,"M1082"
"M1007","M10","07","M","Coney","Grouper",1,"M1083"
"M1007","M10","07","M","Graysby","Grouper",2,"M1083"
"M1007","M10","07","M","Red Hind","Grouper",1,"M1083"
"M1007","M10","07","M","Yellowtail","Snapper",3,"M1083"
"M1203","M12","03","M","Graysby","Grouper",2,"M1255"
"M1203","M12","03","M","Lane","Snapper",3,"M1255"
"M1203","M12","03","M","Mutton","Snapper",1,"M1255"
"M1203","M12","03","M","Red Hind","Grouper",2,"M1255"
"M1203","M12","03","M","Schoolmaster","Snapper",1,"M1255"
"M1203","M12","03","M","Yellowtail","Snapper",7,"M1255"
"M1242","M12","42","M","Graysby","Grouper",2,"M1253"
"M1242","M12","42","M","Red Hind","Grouper",1,"M1253"
"M1242","M12","42","M","Schoolmaster","Snapper",5,"M1253"
"M1242","M12","42","M","Yellowtail","Snapper",5,"M1253"
"M1260","M12","60","M","Graysby","Grouper",1,"M1254"
"M1260","M12","60","M","Lane","Snapper",1,"M1254"
"M1260","M12","60","M","Mutton","Snapper",1,"M1254"
"M1260","M12","60","M","Red Hind","Grouper",1,"M1254"
"M1260","M12","60","M","Schoolmaster","Snapper",1,"M1254"
"M1260","M12","60","M","Yellowtail","Snapper",3,"M1254"
"M1292","M12","92","M","Graysby","Grouper",2,"M1256"
"M1292","M12","92","M","Lane","Snapper",1,"M1256"
"M1292","M12","92","M","Mahogany","Snapper",1,"M1256"
"M1292","M12","92","M","Mutton","Snapper",2,"M1256"
"M1292","M12","92","M","Red Hind","Grouper",3,"M1256"
"M1292","M12","92","M","Schoolmaster","Snapper",1,"M1256"
"M1292","M12","92","M","Yellowtail","Snapper",2,"M1256"
"M1506","M15","06","M","Graysby","Grouper",3,"M1561"
"M1506","M15","06","M","Lane","Snapper",1,"M1561"
"M1506","M15","06","M","Red Hind","Grouper",2,"M1561"
"M1506","M15","06","M","Yellowtail","Snapper",2,"M1561"
"M1508","M15","08","M","Graysby","Grouper",3,"M1563"
"M1508","M15","08","M","Red Hind","Grouper",2,"M1563"
"M1508","M15","08","M","Yellowtail","Snapper",6,"M1563"
"M1509","M15","09","M","Graysby","Grouper",1,"M1564"
"M1509","M15","09","M","Red Hind","Grouper",1,"M1564"
"M1509","M15","09","M","Yellowtail","Snapper",5,"M1564"
"M1762","M17","62","M","Graysby","Grouper",1,"M1789"
"M1762","M17","62","M","Red Hind","Grouper",1,"M1789"
"M1762","M17","62","M","Yellowtail","Snapper",5,"M1789"
"M1764","M17","64","M","Coney","Grouper",1,"M1791"
"M1764","M17","64","M","Graysby","Grouper",1,"M1791"
"M1764","M17","64","M","Red Hind","Grouper",2,"M1791"
"M1764","M17","64","M","Schoolmaster","Snapper",1,"M1791"
"M1764","M17","64","M","Yellowtail","Snapper",16,"M1791"
"M1765","M17","65","M","Coney","Grouper",1,"M1792"
"M1765","M17","65","M","Graysby","Grouper",1,"M1792"
"M1765","M17","65","M","Red Hind","Grouper",2,"M1792"
"M1765","M17","65","M","Yellowtail","Snapper",3,"M1792"
"M2870","M28","70","M","Graysby","Grouper",1,"M2874"
"M2870","M28","70","M","Red Hind","Grouper",2,"M2874"
"M2870","M28","70","M","Yellowtail","Snapper",15,"M2874"
"M3837","M38","37","M","Graysby","Grouper",2,"M3857"
"M3837","M38","37","M","Yellowtail","Snapper",4,"M3857"
"M3839","M38","39","M","Graysby","Grouper",3,"M3859"
"M3839","M38","39","M","Schoolmaster","Snapper",1,"M3859"
"M3839","M38","39","M","Yellowtail","Snapper",4,"M3859"
"M3840","M38","40","M","Graysby","Grouper",5,"M3860"
"M3840","M38","40","M","Schoolmaster","Snapper",1,"M3860"
"M3840","M38","40","M","Yellowtail","Snapper",1,"M3860"
"M4338","M43","38","M","Mutton","Snapper",1,"M4365"
"M4338","M43","38","M","Red Hind","Grouper",2,"M4365"
