Site,Plot,Timepoint,Date,Location,Commenter,Species,Common,Taxa,MaxN,Phase,Sex,Size,Universe,Hour,Hrinmin...15,Min...16,Sec...17,SecinM...18,Time(min),Visibility,Complexity,Hr,Hrinmin...23,Min...24,Sec...25,SecinM...26,ST,DifT,TL,Flipped,TBF,Season,Notes,Rating,Family,L
TAM22,10,1,20211022.mp4,T,MadisonSandquist,EG,Red_hind,Grouper,1,A,0,8,0?,0,0,32,41,0.683333333,32.68333333,Good,Low,0,0,3,40,0.666666667,3.666666667,29.01666667,88.25,N,88.25,FALL,NA,3,Epinephelidae,490
TAM22,10,1,20211022.mp4,T,MadisonSandquist,EG,Red_hind,Grouper,2,A,0,8,1?,1,60,10,30,0.5,70.5,Good,Low,0,0,3,40,0.666666667,3.666666667,66.83333333,88.25,N,88.25,FALL,NA,3,Epinephelidae,490
TAM22,10,1,20211022.mp4,T,MadisonSandquist,GG,Graysby,Grouper,1,A,0,8,1?,0,0,4,47,0.783333333,4.783333333,Good,Low,0,0,3,40,0.666666667,3.666666667,1.116666667,88.25,N,88.25,FALL,NA,3,Epinephelidae,490
TAM22,10,1,20211022.mp4,T,MadisonSandquist,GG,Graysby,Grouper,2,A,0,8,1?,0,0,10,50,0.833333333,10.83333333,Good,Low,0,0,3,40,0.666666667,3.666666667,7.166666667,88.25,N,88.25,FALL,NA,3,Epinephelidae,490
TAM22,10,1,20211022.mp4,T,MadisonSandquist,GG,Graysby,Grouper,4,A,0,8,1?,0,0,13,20,0.333333333,13.33333333,Good,Low,0,0,3,40,0.666666667,3.666666667,9.666666667,88.25,N,88.25,FALL,NA,3,Epinephelidae,490
TAM22,10,1,20211022.mp4,T,MadisonSandquist,LA,Schoolmaster,Snapper,1,A?,0,8,0,0,0,19,37,0.616666667,19.61666667,Good,Low,0,0,3,40,0.666666667,3.666666667,15.95,88.25,N,88.25,FALL,NA,3,Lutjanidae,490
TAM22,10,1,20211022.mp4,T,MadisonSandquist,LS,Lane,Snapper,1,A,0,6,0?,0,0,44,51,0.85,44.85,Good,Low,0,0,3,40,0.666666667,3.666666667,41.18333333,88.25,N,88.25,FALL,NA,3,Lutjanidae,490
TAM22,10,1,20211022.mp4,T,MadisonSandquist,OC,Yellowtail,Snapper,1,A,0,6,0?,0,0,6,38,0.633333333,6.633333333,Good,Low,0,0,3,40,0.666666667,3.666666667,2.966666667,88.25,N,88.25,FALL,NA,3,Lutjanidae,490
TAM22,10,1,20211022.mp4,T,MadisonSandquist,OC,Yellowtail,Snapper,2,A,0,6,1?,0,0,30,33,0.55,30.55,Good,Low,0,0,3,40,0.666666667,3.666666667,26.88333333,88.25,N,88.25,FALL,NA,3,Lutjanidae,490
TAM22,10,1,20211022.mp4,T,MadisonSandquist,OC,Yellowtail,Snapper,3,A,0,6,1?,0,0,36,45,0.75,36.75,Good,Low,0,0,3,40,0.666666667,3.666666667,33.08333333,88.25,N,88.25,FALL,NA,3,Lutjanidae,490
MAG08,73,0120210828.mp4,NA,M,ChristineNation,GG,Graysby,Grouper,1,A,0,6,1,0,0,3,41,0.683333333,3.683333333,Good,High,0,0,3,30,0.5,3.5,0.183333333,79.25,N,79.25,SUMMER,NA,3,Epinephelidae,428
MAG08,73,0120210828.mp4,NA,M,ChristineNation,GG,Graysby,Grouper,1,A,0,8,1,0,0,11,19,0.316666667,11.31666667,Good,High,0,0,3,30,0.5,3.5,7.816666667,79.25,N,79.25,SUMMER,NA,3,Epinephelidae,428
MAG08,73,0120210828.mp4,NA,M,ChristineNation,GG,Graysby,Grouper,2,A,0,8,1,0,0,12,18,0.3,12.3,Good,High,0,0,3,30,0.5,3.5,8.8,79.25,N,79.25,SUMMER,NA,3,Epinephelidae,428
MAG08,73,0120210828.mp4,NA,M,ChristineNation,GG,Graysby,Grouper,3,A,0,6,0,0,0,26,47,0.783333333,26.78333333,Good,High,0,0,3,30,0.5,3.5,23.28333333,79.25,N,79.25,SUMMER,NA,3,Epinephelidae,428
MAG08,73,0120210828.mp4,NA,M,ChristineNation,GG,Graysby,Grouper,4,A,0,6,0,0,0,27,28,0.466666667,27.46666667,Good,High,0,0,3,30,0.5,3.5,23.96666667,79.25,N,79.25,SUMMER,NA,3,Epinephelidae,428
MAG12,60,1,20210725.mp4,M,MadisonSandquist,GG,Graysby,Grouper,1,A,0,8,1?,0,0,9,38,0.633333333,9.633333333,Good,High,0,0,5,7,0.116666667,5.116666667,4.516666667,65.18,N,65.18,SUMMER,NA,2,Epinephelidae,428
MAG28,70,1,202111023,M,MadisonSandquist,GG,Graysby,Grouper,1,A,0,8,1,0,0,16,49,0.816666667,16.81666667,Low,High,0,0,3,46,0.766666667,3.766666667,13.05,86.52,N,86.52,FALL,NA,2,Epinephelidae,428
MAG28,70,1,202111023,M,MadisonSandquist,GG,Graysby,Grouper,2,A,0,8,1,1,60,15,56,0.933333333,75.93333333,Low,High,0,0,3,46,0.766666667,3.766666667,72.16666667,86.52,N,86.52,FALL,NA,2,Epinephelidae,428
MAG48,91,1,20210828,M,MadisonSandquist,GG,Graysby,Grouper,1,A,0,8,1,0,0,5,31,0.516666667,5.516666667,Good,High,0,0,3,15,0.25,3.25,2.266666667,59.12,Y,34.72,SUMMER,NA,2,Epinephelidae,428
MAG48,96,0120211024.mp4,NA,M,EvanLindo,GG,Graysby,Grouper,1,A,0,6,0,0,0,22,45,0.75,22.75,Good,High,0,0,4,4,0.066666667,4.066666667,18.68333333,88.5,N,88.5,FALL,NA,1,Epinephelidae,428
MAG73,9,0120211023.mp4,NA,M,ChristineNation,GG,Graysby,Grouper,1,A,0,6,1,0,0,3,56,0.933333333,3.933333333,Good,High,0,0,3,42,0.7,3.7,0.233333333,91.07,Y,11.95,FALL,NA,2,Epinephelidae,428
MAG73,9,0120211023.mp4,NA,M,ChristineNation,GG,Graysby,Grouper,2,A,0,6,1,0,0,4,13,0.216666667,4.216666667,Good,High,0,0,3,42,0.7,3.7,0.516666667,91.07,Y,11.95,FALL,NA,2,Epinephelidae,428
MAG73,9,0120211023.mp4,NA,M,ChristineNation,GG,Graysby,Grouper,3,A,0,6,1,0,0,6,41,0.683333333,6.683333333,Good,High,0,0,3,42,0.7,3.7,2.983333333,91.07,Y,11.95,FALL,NA,2,Epinephelidae,428
TAM01,60,1,20211022.mp4,T,MadisonSandquist,GG,Graysby,Grouper,1,A,0,8,0?,0,0,17,36,0.6,17.6,Good,High,0,0,3,43,0.716666667,3.716666667,13.88333333,88.47,N,88.47,FALL,NA,2,Epinephelidae,490
TAM01,60,1,20211022.mp4,T,MadisonSandquist,GG,Graysby,Grouper,2,A,0,8,1?,0,0,44,30,0.5,44.5,Good,High,0,0,3,43,0.716666667,3.716666667,40.78333333,88.47,N,88.47,FALL,NA,2,Epinephelidae,490
TAM20,72,1,20211022.mp4,T,MadisonSandquist,GG,Graysby,Grouper,1,A,0,6,0?,0,0,4,56,0.933333333,4.933333333,Good,High,0,0,3,47,0.783333333,3.783333333,1.15,86.93,N,86.93,FALL,NA,3,Epinephelidae,490
TAM20,72,1,20211022.mp4,T,MadisonSandquist,GG,Graysby,Grouper,2,A,0,6,1?,0,0,5,0,0,5,Good,High,0,0,3,47,0.783333333,3.783333333,1.216666667,86.93,N,86.93,FALL,NA,3,Epinephelidae,490
TAM20,72,1,20211022.mp4,T,MadisonSandquist,GG,Graysby,Grouper,3,A,0,6,0?,0,0,6,51,0.85,6.85,Good,High,0,0,3,47,0.783333333,3.783333333,3.066666667,86.93,N,86.93,FALL,NA,3,Epinephelidae,490
TAM20,72,1,20211022.mp4,T,MadisonSandquist,GG,Graysby,Grouper,4,A,0,8,0?,0,0,23,2,0.033333333,23.03333333,Good,High,0,0,3,47,0.783333333,3.783333333,19.25,86.93,N,86.93,FALL,NA,3,Epinephelidae,490
TAM24,63,01.mp4,NA,T,MelaniReyes,GG,Graysby,Grouper,1,A,0,6,1,0,0,16,57,0.95,16.95,Fair,High,0,0,3,21,0.35,3.35,13.6,68.67,N,68.67,SUMMER,NA,3,Epinephelidae,490
TAM37,16,0120210828.mp4,NA,T,ChristineNation,GG,Graysby,Grouper,1,A,0,6,1,0,0,4,3,0.05,4.05,Good,High,0,0,3,23,0.383333333,3.383333333,0.666666667,88.52,N,88.52,SUMMER,NA,2,Epinephelidae,490
TAM37,16,0120210828.mp4,NA,T,ChristineNation,GG,Graysby,Grouper,2,A,0,6,1,0,0,5,54,0.9,5.9,Good,High,0,0,3,23,0.383333333,3.383333333,2.516666667,88.52,N,88.52,SUMMER,NA,2,Epinephelidae,490
TAM37,16,0120210828.mp4,NA,T,ChristineNation,GG,Graysby,Grouper,3,A,0,6,1,0,0,27,15,0.25,27.25,Good,High,0,0,3,23,0.383333333,3.383333333,23.86666667,88.52,N,88.52,SUMMER,NA,2,Epinephelidae,490
TAM37,16,0120210828.mp4,NA,T,ChristineNation,GG,Graysby,Grouper,4,A,0,6,1,0,0,27,41,0.683333333,27.68333333,Good,High,0,0,3,23,0.383333333,3.383333333,24.3,88.52,N,88.52,SUMMER,NA,2,Epinephelidae,490
TAM37,16,0120210828.mp4,NA,T,ChristineNation,GG,Graysby,Grouper,5,H,0,4,1,0,0,59,24,0.4,59.4,Good,High,0,0,3,23,0.383333333,3.383333333,56.01666667,88.52,N,88.52,SUMMER,NA,2,Epinephelidae,490
TAM43,2,0120210828.mp4,NA,T,ChristineNation,GG,Graysby,Grouper,1,A,0,8,1,0,0,4,1,0.016666667,4.016666667,Good,High,0,0,3,34,0.566666667,3.566666667,0.45,112.57,N,112.57,SUMMER,NA,2,Epinephelidae,490
TAM43,2,0120210828.mp4,NA,T,ChristineNation,GG,Graysby,Grouper,2,A,0,6,1,0,0,4,22,0.366666667,4.366666667,Good,High,0,0,3,34,0.566666667,3.566666667,0.8,112.57,N,112.57,SUMMER,NA,2,Epinephelidae,490
TAM43,2,0120210828.mp4,NA,T,ChristineNation,GG,Graysby,Grouper,3,A,0,8,0,0,0,27,24,0.4,27.4,Good,High,0,0,3,34,0.566666667,3.566666667,23.83333333,112.57,N,112.57,SUMMER,NA,2,Epinephelidae,490
TAM45,90,1,20211023,T,ChristineNation,GG,Graysby,Grouper,1,A,0,6,1,0,0,3,33,0.55,3.55,Good,High,0,0,3,22,0.366666667,3.366666667,0.183333333,90,N,90,FALL,NA,3,Epinephelidae,490
TAM45,90,1,20211023,T,ChristineNation,GG,Graysby,Grouper,2,A,0,6,1,0,0,4,25,0.416666667,4.416666667,Good,High,0,0,3,22,0.366666667,3.366666667,1.05,90,N,90,FALL,NA,3,Epinephelidae,490
TAM45,90,1,20211023,T,ChristineNation,GG,Graysby,Grouper,3,A,0,6,1,0,0,9,5,0.083333333,9.083333333,Good,High,0,0,3,22,0.366666667,3.366666667,5.716666667,90,N,90,FALL,NA,3,Epinephelidae,490
TAM45,90,1,20211023,T,ChristineNation,GG,Graysby,Grouper,4,A,0,6,1,0,0,11,11,0.183333333,11.18333333,Good,High,0,0,3,22,0.366666667,3.366666667,7.816666667,90,N,90,FALL,NA,3,Epinephelidae,490
MAG12,60,1,20210725.mp4,M,MadisonSandquist,EG,Red_hind,Grouper,1,A,0,8,0?,0,0,5,10,0.166666667,5.166666667,Good,High,0,0,5,7,0.116666667,5.116666667,0.05,65.18,N,65.18,SUMMER,NA,2,Epinephelidae,428
MAG28,70,1,202111023,M,MadisonSandquist,EG,Red_hind,Grouper,1,A,0,8,0,0,0,28,48,0.8,28.8,Low,High,0,0,3,46,0.766666667,3.766666667,25.03333333,86.52,N,86.52,FALL,NA,2,Epinephelidae,428
MAG28,70,1,202111023,M,MadisonSandquist,EG,Red_hind,Grouper,2,A,0,8,0,0,0,38,10,0.166666667,38.16666667,Low,High,0,0,3,46,0.766666667,3.766666667,34.4,86.52,N,86.52,FALL,NA,2,Epinephelidae,428
MAG48,91,1,20210828,M,MadisonSandquist,EG,Red_hind,Grouper,1,A,0,8,0,0,0,25,28,0.466666667,25.46666667,Good,High,0,0,3,15,0.25,3.25,22.21666667,59.12,Y,34.72,SUMMER,NA,2,Epinephelidae,428
MAG48,96,0120211024.mp4,NA,M,EvanLindo,EG,Red_hind,Grouper,1,A,0,8,0,0,0,28,6,0.1,28.1,Good,High,0,0,4,4,0.066666667,4.066666667,24.03333333,88.5,N,88.5,FALL,NA,1,Epinephelidae,428
MAG48,96,0120211024.mp4,NA,M,EvanLindo,EG,Red_hind,Grouper,2,A,0,8,0,1,60,7,21,0.35,67.35,Good,High,0,0,4,4,0.066666667,4.066666667,63.28333333,88.5,N,88.5,FALL,NA,1,Epinephelidae,428
TAM01,16,1,20210725,T,NicolasRivas,EG,Red_hind,Grouper,1,A,0,6,1,0,0,10,1,0.016666667,10.01666667,Good,High,0,0,3,1,0.016666667,3.016666667,7,63.7,Y,44.42,SUMMER,NA,2,Epinephelidae,490
TAM01,60,1,20211022.mp4,T,MadisonSandquist,EG,Red_hind,Grouper,1,A,0,6,0?,0,0,14,45,0.75,14.75,Good,High,0,0,3,43,0.716666667,3.716666667,11.03333333,88.47,N,88.47,FALL,NA,2,Epinephelidae,490
TAM20,70,1,20210724,T,NicolasRivas,EG,Red_hind,Grouper,1,A,0,6,0,0,0,13,19,0.316666667,13.31666667,Good,High,0,0,4,14,0.233333333,4.233333333,9.083333333,82.67,N,82.67,SUMMER,NA,3,Epinephelidae,490
TAM22,11,1,20210724,T,NicolasRivas,EG,Red_hind,Grouper,1,A,0,6,0,0,0,6,26,0.433333333,6.433333333,Good,High,0,0,4,21,0.35,4.35,2.083333333,88.42,N,88.42,SUMMER,NA,3,Epinephelidae,490
TAM22,11,1,20210724,T,NicolasRivas,EG,Red_hind,Grouper,2,A,0,6,0,0,0,15,42,0.7,15.7,Good,High,0,0,4,21,0.35,4.35,11.35,88.42,N,88.42,SUMMER,NA,3,Epinephelidae,490
TAM37,14,01.mp4,NA,T,NicolasRivas,EG,Red_hind,Grouper,1,A,0,6,0,0,0,28,37,0.616666667,28.61666667,Good,High,0,0,3,29,0.483333333,3.483333333,25.13333333,43.23,N,43.23,SUMMER,NA,3,Epinephelidae,490
TAM37,16,0120210828.mp4,NA,T,ChristineNation,EG,Red_hind,Grouper,2,A,0,8,1,0,0,3,25,0.416666667,3.416666667,Good,High,0,0,3,23,0.383333333,3.383333333,0.033333333,88.52,N,88.52,SUMMER,NA,2,Epinephelidae,490
TAM37,15,0120210828.mp4,NA,T,EvanLindo,EG,Red_hind,Grouper,1,A,0,8,0,0,0,9,44,0.733333333,9.733333333,Fair,High,0,0,3,24,0.4,3.4,6.333333333,68.93,N,68.93,SUMMER,NA,3,Epinephelidae,490
TAM37,15,0120210828.mp4,NA,T,EvanLindo,EG,Red_hind,Grouper,2,A,0,8,0,0,0,13,27,0.45,13.45,Fair,High,0,0,3,24,0.4,3.4,10.05,68.93,N,68.93,SUMMER,NA,3,Epinephelidae,490
TAM43,2,0120210828.mp4,NA,T,ChristineNation,EG,Red_hind,Grouper,1,A,0,8,1,0,0,4,0,0,4,Good,High,0,0,3,34,0.566666667,3.566666667,0.433333333,112.57,N,112.57,SUMMER,NA,2,Epinephelidae,490
TAM45,90,1,20211023,T,ChristineNation,EG,Red_hind,Grouper,1,A,0,8,1,0,0,13,15,0.25,13.25,Good,High,0,0,3,22,0.366666667,3.366666667,9.883333333,90,N,90,FALL,NA,3,Epinephelidae,490
TAM45,90,1,20211023,T,ChristineNation,EG,Red_hind,Grouper,2,A,0,6,0,0,0,13,55,0.916666667,13.91666667,Good,High,0,0,3,22,0.366666667,3.366666667,10.55,90,N,90,FALL,NA,3,Epinephelidae,490
MAG12,60,1,20210725.mp4,M,MadisonSandquist,GG,Graysby,Grouper,1,A,0,8,1?,0,0,17,30,0.5,17.5,Good,High,0,0,5,7,0.116666667,5.116666667,12.38333333,65.18,N,65.18,SUMMER,NA,2,Epinephelidae,428
MAG48,91,1,20210828,M,MadisonSandquist,GG,Graysby,Grouper,1,A,0,8,1,0,0,13,38,0.633333333,13.63333333,Good,High,0,0,3,15,0.25,3.25,10.38333333,59.12,Y,34.72,SUMMER,NA,2,Epinephelidae,428
MAG48,91,1,20210828,M,MadisonSandquist,GG,Graysby,Grouper,2,A,0,8,0,0,0,14,57,0.95,14.95,Good,High,0,0,3,15,0.25,3.25,11.7,59.12,Y,34.72,SUMMER,NA,2,Epinephelidae,428
MAG48,96,0120211024.mp4,NA,M,EvanLindo,GG,Graysby,Grouper,1,J,0,6,1,0,0,4,46,0.766666667,4.766666667,Good,High,0,0,4,4,0.066666667,4.066666667,0.7,88.5,N,88.5,FALL,NA,1,Epinephelidae,428
MAG48,96,0120211024.mp4,NA,M,EvanLindo,GG,Graysby,Grouper,2,A,0,6,0,0,0,37,48,0.8,37.8,Good,High,0,0,4,4,0.066666667,4.066666667,33.73333333,88.5,N,88.5,FALL,NA,1,Epinephelidae,428
MAG73,9,0120210828.mp4,NA,M,EvanLindo,GG,Graysby,Grouper,1,A,0,6,1,0,0,31,4,0.066666667,31.06666667,Good,High,0,0,3,26,0.433333333,3.433333333,27.63333333,63.35,N,63.35,SUMMER,NA,2,Epinephelidae,428
MAG73,9,0120210828.mp4,NA,M,EvanLindo,GG,Graysby,Grouper,2,A,0,6,0,0,0,47,41,0.683333333,47.68333333,Good,High,0,0,3,26,0.433333333,3.433333333,44.25,63.35,N,63.35,SUMMER,NA,2,Epinephelidae,428
TAM01,16,1,20210725,T,NicolasRivas,GG,Graysby,Grouper,1,A,0,6,1,0,0,4,13,0.216666667,4.216666667,Good,High,0,0,3,1,0.016666667,3.016666667,1.2,63.7,Y,44.42,SUMMER,NA,2,Epinephelidae,490
TAM01,16,1,20210725,T,NicolasRivas,GG,Graysby,Grouper,2,A,0,6,1,0,0,7,7,0.116666667,7.116666667,Good,High,0,0,3,1,0.016666667,3.016666667,4.1,63.7,Y,44.42,SUMMER,NA,2,Epinephelidae,490
TAM04,75,01.mp4,NA,T,EvanLindo,GG,Graysby,Grouper,1,A,0,8,0,0,0,4,56,0.933333333,4.933333333,Good,High,0,0,3,43,0.716666667,3.716666667,1.216666667,85.93,Y,42.53,SUMMER,NA,3,Epinephelidae,490
TAM04,75,01.mp4,NA,T,EvanLindo,GG,Graysby,Grouper,2,A,0,6,0,0,0,6,7,0.116666667,6.116666667,Good,High,0,0,3,43,0.716666667,3.716666667,2.4,85.93,Y,42.53,SUMMER,NA,3,Epinephelidae,490
TAM04,75,01.mp4,NA,T,EvanLindo,GG,Graysby,Grouper,4,A,0,8,0,0,0,33,4,0.066666667,33.06666667,Good,High,0,0,3,43,0.716666667,3.716666667,29.35,85.93,Y,42.53,SUMMER,NA,3,Epinephelidae,490
TAM04,74,120210725,B.mp4,T,LaurenPadron,GG,Graysby,Grouper,1,A,0,8,1,0,0,6,41,0.683333333,6.683333333,Good,High,0,0,2,57,0.95,2.95,3.733333333,58.18,N,58.18,SUMMER,NA,3,Epinephelidae,490
TAM04,74,120210725,B.mp4,T,LaurenPadron,GG,Graysby,Grouper,2,A,0,8,1,0,0,9,31,0.516666667,9.516666667,Good,High,0,0,2,57,0.95,2.95,6.566666667,58.18,N,58.18,SUMMER,NA,3,Epinephelidae,490
TAM04,74,120210725,B.mp4,T,LaurenPadron,GG,Graysby,Grouper,3,A,0,8,1,0,0,10,42,0.7,10.7,Good,High,0,0,2,57,0.95,2.95,7.75,58.18,N,58.18,SUMMER,NA,3,Epinephelidae,490
TAM04,74,120210725,B.mp4,T,LaurenPadron,GG,Graysby,Grouper,4,A,0,8,1,0,0,22,55,0.916666667,22.91666667,Good,High,0,0,2,57,0.95,2.95,19.96666667,58.18,N,58.18,SUMMER,NA,3,Epinephelidae,490
