SitePlot,Site,Plot,Location,Common,MaxN,PA
M0873,M08,73,M,Graysby,4,1
M0873,M08,73,M,Coney,0,0
M0874,M08,74,M,Graysby,2,1
M0874,M08,74,M,Coney,0,0
M0875,M08,75,M,Graysby,2,1
M0875,M08,75,M,Coney,0,0
M0876,M08,76,M,Graysby,3,1
M0876,M08,76,M,Coney,0,0
M1005,M10,05,M,Graysby,0,0
M1005,M10,05,M,Coney,0,0
M1006,M10,06,M,Graysby,0,0
M1006,M10,06,M,Coney,0,0
M1007,M10,07,M,Graysby,2,1
M1007,M10,07,M,Coney,1,1
M1203,M12,03,M,Graysby,2,1
M1203,M12,03,M,Coney,0,0
M1242,M12,42,M,Graysby,2,1
M1242,M12,42,M,Coney,0,0
M1260,M12,60,M,Graysby,1,1
M1260,M12,60,M,Coney,0,0
M1292,M12,92,M,Graysby,2,1
M1292,M12,92,M,Coney,0,0
M1506,M15,06,M,Graysby,3,1
M1506,M15,06,M,Coney,0,0
M1508,M15,08,M,Graysby,3,1
M1508,M15,08,M,Coney,0,0
M1509,M15,09,M,Graysby,1,1
M1509,M15,09,M,Coney,0,0
M1762,M17,62,M,Graysby,1,1
M1762,M17,62,M,Coney,0,0
M1764,M17,64,M,Graysby,1,1
M1764,M17,64,M,Coney,1,1
M1765,M17,65,M,Graysby,1,1
M1765,M17,65,M,Coney,1,1
M2870,M28,70,M,Graysby,1,1
M2870,M28,70,M,Coney,0,0
M3837,M38,37,M,Graysby,2,1
M3837,M38,37,M,Coney,0,0
M3839,M38,39,M,Graysby,3,1
M3839,M38,39,M,Coney,0,0
M3840,M38,40,M,Graysby,5,1
M3840,M38,40,M,Coney,0,0
M4338,M43,38,M,Graysby,0,0
M4338,M43,38,M,Coney,0,0
M4378,M43,78,M,Graysby,1,1
M4378,M43,78,M,Coney,0,0
M4380,M43,80,M,Graysby,0,0
M4380,M43,80,M,Coney,0,0
M4381,M43,81,M,Graysby,2,1
M4381,M43,81,M,Coney,0,0
M4502,M45,02,M,Graysby,1,1
M4502,M45,02,M,Coney,1,1
M4503,M45,03,M,Graysby,0,0
M4503,M45,03,M,Coney,0,0
M4504,M45,04,M,Graysby,1,1
M4504,M45,04,M,Coney,1,1
M4849,M48,49,M,Graysby,2,1
M4849,M48,49,M,Coney,0,0
M4896,M48,96,M,Graysby,2,1
M4896,M48,96,M,Coney,0,0
M7309,M73,09,M,Graysby,2,1
M7309,M73,09,M,Coney,0,0
M7421,M74,21,M,Graysby,1,1
M7421,M74,21,M,Coney,1,1
M7422,M74,22,M,Graysby,0,0
M7422,M74,22,M,Coney,0,0
T0158,T01,58,T,Graysby,2,1
T0158,T01,58,T,Coney,0,0
T0160,T01,60,T,Graysby,2,1
T0160,T01,60,T,Coney,0,0
T0168,T01,68,T,Graysby,2,1
T0168,T01,68,T,Coney,0,0
T0473,T04,73,T,Graysby,2,1
T0473,T04,73,T,Coney,0,0
T0476,T04,76,T,Graysby,0,0
T0476,T04,76,T,Coney,0,0
T2069,T20,69,T,Graysby,4,1
T2069,T20,69,T,Coney,0,0
T2070,T20,70,T,Graysby,0,0
T2070,T20,70,T,Coney,0,0
T2072,T20,72,T,Graysby,4,1
T2072,T20,72,T,Coney,0,0
T2209,T22,09,T,Graysby,4,1
T2209,T22,09,T,Coney,0,0
T2210,T22,10,T,Graysby,4,1
T2210,T22,10,T,Coney,0,0
T2211,T22,11,T,Graysby,3,1
T2211,T22,11,T,Coney,0,0
T2212,T22,12,T,Graysby,5,1
T2212,T22,12,T,Coney,0,0
T2361,T23,61,T,Graysby,2,1
T2361,T23,61,T,Coney,0,0
T2369,T23,69,T,Graysby,0,0
T2369,T23,69,T,Coney,0,0
T2374,T23,74,T,Graysby,2,1
T2374,T23,74,T,Coney,0,0
T2378,T23,78,T,Graysby,1,1
T2378,T23,78,T,Coney,0,0
T2463,T24,63,T,Graysby,3,1
T2463,T24,63,T,Coney,0,0
T2464,T24,64,T,Graysby,5,1
T2464,T24,64,T,Coney,0,0
T2477,T24,77,T,Graysby,3,1
T2477,T24,77,T,Coney,0,0
T2479,T24,79,T,Graysby,3,1
T2479,T24,79,T,Coney,0,0
T2646,T26,46,T,Graysby,2,1
T2646,T26,46,T,Coney,0,0
T2647,T26,47,T,Graysby,2,1
T2647,T26,47,T,Coney,0,0
T2648,T26,48,T,Graysby,3,1
T2648,T26,48,T,Coney,0,0
T3521,T35,21,T,Graysby,2,1
T3521,T35,21,T,Coney,1,1
T3540,T35,40,T,Graysby,3,1
T3540,T35,40,T,Coney,2,1
T3713,T37,13,T,Graysby,2,1
T3713,T37,13,T,Coney,0,0
T3715,T37,15,T,Graysby,3,1
T3715,T37,15,T,Coney,0,0
T3716,T37,16,T,Graysby,5,1
T3716,T37,16,T,Coney,0,0
T3967,T39,67,T,Graysby,4,1
T3967,T39,67,T,Coney,0,0
T3971,T39,71,T,Graysby,4,1
T3971,T39,71,T,Coney,0,0
T3976,T39,76,T,Graysby,1,1
T3976,T39,76,T,Coney,0,0
T4301,T43,01,T,Graysby,5,1
T4301,T43,01,T,Coney,0,0
T4302,T43,02,T,Graysby,3,1
T4302,T43,02,T,Coney,0,0
T4303,T43,03,T,Graysby,3,1
T4303,T43,03,T,Coney,0,0
T4304,T43,04,T,Graysby,4,1
T4304,T43,04,T,Coney,0,0
T4512,T45,12,T,Graysby,4,1
T4512,T45,12,T,Coney,0,0
T4533,T45,33,T,Graysby,3,1
T4533,T45,33,T,Coney,0,0
T4572,T45,72,T,Graysby,3,1
T4572,T45,72,T,Coney,0,0
T4590,T45,90,T,Graysby,4,1
T4590,T45,90,T,Coney,0,0
