Year,Location,Site,Plot,Category,Pcover,Period
2021,M,10,81,coral,0.005278592,baseline
2021,M,10,81,gorgonian,0.004340176,baseline
2021,M,10,81,algae,0.037888563,baseline
2021,M,10,81,other,0.007859238,baseline
2021,M,10,81,sponge,0.02111437,baseline
2021,M,10,81,sand-rubble,0.914017595,baseline
2021,M,10,81,tools,0.009501466,baseline
2021,M,10,82,coral,0.006382979,baseline
2021,M,10,82,gorgonian,0.001654846,baseline
2021,M,10,82,algae,0.024113475,baseline
2021,M,10,82,other,7.09E-04,baseline
2021,M,10,82,sponge,0.011583924,baseline
2021,M,10,82,sand-rubble,0.947044917,baseline
2021,M,10,82,tools,0.008510638,baseline
2021,M,10,83,coral,0.007844947,baseline
2021,M,10,83,gorgonian,0.016705122,baseline
2021,M,10,83,algae,0.135394555,baseline
2021,M,10,83,other,0.011444393,baseline
2021,M,10,83,sponge,0.012275035,baseline
2021,M,10,83,sand-rubble,0.798338717,baseline
2021,M,10,83,tools,0.017628057,baseline
2021,M,10,83,zoanthid,3.69E-04,baseline
2021,M,10,84,coral,0.002039911,baseline
2021,M,10,84,gorgonian,0.003370288,baseline
2021,M,10,84,algae,0.13578714,baseline
2021,M,10,84,other,0.007184035,baseline
2021,M,10,84,sponge,0.022527716,baseline
2021,M,10,84,sand-rubble,0.82075388,baseline
2021,M,10,84,tools,0.007716186,baseline
2021,M,10,84,zoanthid,6.21E-04,baseline
2021,M,12,53,coral,0.00562201,baseline
2021,M,12,53,gorgonian,0.015430622,baseline
2021,M,12,53,algae,0.15992823,baseline
2021,M,12,53,other,0.003588517,baseline
2021,M,12,53,sponge,0.011961722,baseline
2021,M,12,53,sand-rubble,0.780143541,baseline
2021,M,12,53,tools,0.023205742,baseline
2021,M,12,53,zoanthid,1.20E-04,baseline
2021,M,12,54,coral,0.007083825,baseline
2021,M,12,54,gorgonian,0.020306966,baseline
2021,M,12,54,algae,0.206493506,baseline
2021,M,12,54,other,0.007201889,baseline
2021,M,12,54,sponge,0.032113341,baseline
2021,M,12,54,sand-rubble,0.694923259,baseline
2021,M,12,54,tools,0.031641086,baseline
2021,M,12,54,zoanthid,2.36E-04,baseline
2021,M,12,55,coral,0.004938272,baseline
2021,M,12,55,gorgonian,0.011111111,baseline
2021,M,12,55,algae,0.154320988,baseline
2021,M,12,55,other,0.002116402,baseline
2021,M,12,55,sponge,0.010582011,baseline
2021,M,12,55,sand-rubble,0.807936508,baseline
2021,M,12,55,seagrass,1.76E-04,baseline
2021,M,12,55,tools,0.008818342,baseline
2021,M,12,56,coral,0.00801564,baseline
2021,M,12,56,gorgonian,0.01769306,baseline
2021,M,12,56,algae,0.241642229,baseline
2021,M,12,56,other,0.005474096,baseline
2021,M,12,56,sponge,0.085923754,baseline
2021,M,12,56,sand-rubble,0.628739003,baseline
2021,M,12,56,tools,0.012316716,baseline
2021,M,12,56,zoanthid,1.96E-04,baseline
2021,M,15,61,coral,0.011494253,baseline
2021,M,15,61,gorgonian,0.036637931,baseline
2021,M,15,61,algae,0.615086207,baseline
2021,M,15,61,other,0.004166667,baseline
2021,M,15,61,sponge,0.008908046,baseline
2021,M,15,61,sand-rubble,0.294827586,baseline
2021,M,15,61,tools,0.02887931,baseline
2021,M,15,62,coral,0.008308895,baseline
2021,M,15,62,gorgonian,0.015542522,baseline
2021,M,15,62,algae,0.394721408,baseline
2021,M,15,62,other,0.009286413,baseline
2021,M,15,62,sponge,0.115053763,baseline
2021,M,15,62,sand-rubble,0.435581623,baseline
2021,M,15,62,tools,0.021309873,baseline
2021,M,15,62,zoanthid,1.96E-04,baseline
2021,M,15,63,coral,0.014639906,baseline
2021,M,15,63,gorgonian,0.052774498,baseline
2021,M,15,63,algae,0.355371901,baseline
2021,M,15,63,other,0.00377804,baseline
2021,M,15,63,sponge,0.039905549,baseline
2021,M,15,63,sand-rubble,0.525029516,baseline
2021,M,15,63,tools,0.008382527,baseline
2021,M,15,63,zoanthid,1.18E-04,baseline
2021,M,15,64,coral,0.01446281,baseline
2021,M,15,64,gorgonian,0.03815427,baseline
2021,M,15,64,algae,0.129889807,baseline
2021,M,15,64,other,0.002066116,baseline
2021,M,15,64,sponge,0.026859504,baseline
2021,M,15,64,sand-rubble,0.778099174,baseline
2021,M,15,64,tools,0.010192837,baseline
2021,M,15,64,zoanthid,2.75E-04,baseline
2021,M,17,89,coral,0.006363636,baseline
2021,M,17,89,gorgonian,0.021477273,baseline
2021,M,17,89,algae,0.109431818,baseline
2021,M,17,89,other,0.005,baseline
2021,M,17,89,sponge,0.054090909,baseline
2021,M,17,89,sand-rubble,0.787954545,baseline
2021,M,17,89,tools,0.015340909,baseline
2021,M,17,89,zoanthid,3.41E-04,baseline
2021,M,17,90,coral,0.005182257,baseline
2021,M,17,90,gorgonian,0.011067194,baseline
2021,M,17,90,algae,0.215898112,baseline
2021,M,17,90,other,0.006587615,baseline
2021,M,17,90,sponge,0.03407993,baseline
2021,M,17,90,sand-rubble,0.706807202,baseline
2021,M,17,90,tools,0.02002635,baseline
2021,M,17,90,zoanthid,3.51E-04,baseline
2021,M,17,91,coral,0.009309091,baseline
2021,M,17,91,gorgonian,0.009454545,baseline
2021,M,17,91,algae,0.067490909,baseline
2021,M,17,91,other,0.008581818,baseline
2021,M,17,91,sponge,0.052945455,baseline
2021,M,17,91,sand-rubble,0.844072727,baseline
2021,M,17,91,tools,0.007854545,baseline
2021,M,17,91,zoanthid,2.91E-04,baseline
2021,M,17,92,coral,0.002624672,baseline
2021,M,17,92,gorgonian,0.004724409,baseline
2021,M,17,92,algae,0.087664042,baseline
2021,M,17,92,other,0.008661417,baseline
2021,M,17,92,sponge,0.020734908,baseline
2021,M,17,92,sand-rubble,0.85511811,baseline
2021,M,17,92,tools,0.020209974,baseline
2021,M,17,92,zoanthid,2.62E-04,baseline
2021,M,28,73,coral,0.012655971,baseline
2021,M,28,73,gorgonian,0.061497326,baseline
2021,M,28,73,algae,0.492513369,baseline
2021,M,28,73,other,0.071836007,baseline
2021,M,28,73,sponge,0.008377897,baseline
2021,M,28,73,sand-rubble,0.307664884,baseline
2021,M,28,73,seagrass,5.35E-04,baseline
2021,M,28,73,tools,0.044919786,baseline
2021,M,28,74,coral,0.006561859,baseline
2021,M,28,74,gorgonian,0.018865345,baseline
2021,M,28,74,algae,0.465481887,baseline
2021,M,28,74,other,0.002870813,baseline
2021,M,28,74,sponge,0.082980178,baseline
2021,M,28,74,sand-rubble,0.365413534,baseline
2021,M,28,74,seagrass,0.008749146,baseline
2021,M,28,74,tools,0.048530417,baseline
2021,M,28,74,zoanthid,5.47E-04,baseline
2021,M,28,76,coral,0.010514541,baseline
2021,M,28,76,gorgonian,0.052796421,baseline
2021,M,28,76,algae,0.082997763,baseline
2021,M,28,76,other,0.001565996,baseline
2021,M,28,76,sponge,0.055704698,baseline
2021,M,28,76,sand-rubble,0.768680089,baseline
2021,M,28,76,seagrass,2.24E-04,baseline
2021,M,28,76,tools,0.027516779,baseline
2021,M,38,57,coral,0.002412281,baseline
2021,M,38,57,gorgonian,0.001973684,baseline
2021,M,38,57,algae,0.283991228,baseline
2021,M,38,57,other,8.77E-04,baseline
2021,M,38,57,sponge,0.053070175,baseline
2021,M,38,57,sand-rubble,0.64627193,baseline
2021,M,38,57,tools,0.011403509,baseline
2021,M,38,58,coral,0.00816777,baseline
2021,M,38,58,gorgonian,0.007505519,baseline
2021,M,38,58,algae,0.166445916,baseline
2021,M,38,58,other,0.001545254,baseline
2021,M,38,58,sponge,0.072406181,baseline
2021,M,38,58,sand-rubble,0.735761589,baseline
2021,M,38,58,seagrass,0.001324503,baseline
2021,M,38,58,tools,0.006843267,baseline
2021,M,38,59,coral,0.008080808,baseline
2021,M,38,59,gorgonian,0.014141414,baseline
2021,M,38,59,algae,0.307474747,baseline
2021,M,38,59,other,0.006868687,baseline
2021,M,38,59,sponge,0.038383838,baseline
2021,M,38,59,sand-rubble,0.605656566,baseline
2021,M,38,59,seagrass,0.002222222,baseline
2021,M,38,59,tools,0.017171717,baseline
2021,M,38,60,coral,0.010338681,baseline
2021,M,38,60,gorgonian,0.018300654,baseline
2021,M,38,60,algae,0.564468212,baseline
2021,M,38,60,other,0.033392751,baseline
2021,M,38,60,sponge,0.008199643,baseline
