SitePlot,Site,Plot,Location,Common,MaxN,PA
M0873,M08,73,M,Yellowtail,5,1
M0873,M08,73,M,Lane,0,0
M0873,M08,73,M,Mutton,0,0
M0873,M08,73,M,Schoolmaster,0,0
M0873,M08,73,M,Mahogany,0,0
M0874,M08,74,M,Yellowtail,12,1
M0874,M08,74,M,Lane,2,1
M0874,M08,74,M,Mutton,0,0
M0874,M08,74,M,Schoolmaster,0,0
M0874,M08,74,M,Mahogany,0,0
M0875,M08,75,M,Yellowtail,10,1
M0875,M08,75,M,Lane,0,0
M0875,M08,75,M,Mutton,0,0
M0875,M08,75,M,Schoolmaster,0,0
M0875,M08,75,M,Mahogany,0,0
M0876,M08,76,M,Yellowtail,14,1
M0876,M08,76,M,Lane,0,0
M0876,M08,76,M,Mutton,0,0
M0876,M08,76,M,Schoolmaster,0,0
M0876,M08,76,M,Mahogany,0,0
M1005,M10,05,M,Yellowtail,5,1
M1005,M10,05,M,Lane,0,0
M1005,M10,05,M,Mutton,9,1
M1005,M10,05,M,Schoolmaster,0,0
M1005,M10,05,M,Mahogany,0,0
M1006,M10,06,M,Yellowtail,2,1
M1006,M10,06,M,Lane,0,0
M1006,M10,06,M,Mutton,0,0
M1006,M10,06,M,Schoolmaster,0,0
M1006,M10,06,M,Mahogany,0,0
M1007,M10,07,M,Yellowtail,3,1
M1007,M10,07,M,Lane,0,0
M1007,M10,07,M,Mutton,0,0
M1007,M10,07,M,Schoolmaster,0,0
M1007,M10,07,M,Mahogany,0,0
M1203,M12,03,M,Yellowtail,7,1
M1203,M12,03,M,Lane,3,1
M1203,M12,03,M,Mutton,1,1
M1203,M12,03,M,Schoolmaster,1,1
M1203,M12,03,M,Mahogany,0,0
M1242,M12,42,M,Yellowtail,5,1
M1242,M12,42,M,Lane,0,0
M1242,M12,42,M,Mutton,0,0
M1242,M12,42,M,Schoolmaster,5,1
M1242,M12,42,M,Mahogany,0,0
M1260,M12,60,M,Yellowtail,3,1
M1260,M12,60,M,Lane,1,1
M1260,M12,60,M,Mutton,1,1
M1260,M12,60,M,Schoolmaster,1,1
M1260,M12,60,M,Mahogany,0,0
M1292,M12,92,M,Yellowtail,2,1
M1292,M12,92,M,Lane,1,1
M1292,M12,92,M,Mutton,2,1
M1292,M12,92,M,Schoolmaster,1,1
M1292,M12,92,M,Mahogany,1,1
M1506,M15,06,M,Yellowtail,2,1
M1506,M15,06,M,Lane,1,1
M1506,M15,06,M,Mutton,0,0
M1506,M15,06,M,Schoolmaster,0,0
M1506,M15,06,M,Mahogany,0,0
M1508,M15,08,M,Yellowtail,6,1
M1508,M15,08,M,Lane,0,0
M1508,M15,08,M,Mutton,0,0
M1508,M15,08,M,Schoolmaster,0,0
M1508,M15,08,M,Mahogany,0,0
M1509,M15,09,M,Yellowtail,5,1
M1509,M15,09,M,Lane,0,0
M1509,M15,09,M,Mutton,0,0
M1509,M15,09,M,Schoolmaster,0,0
M1509,M15,09,M,Mahogany,0,0
M1762,M17,62,M,Yellowtail,5,1
M1762,M17,62,M,Lane,0,0
M1762,M17,62,M,Mutton,0,0
M1762,M17,62,M,Schoolmaster,0,0
M1762,M17,62,M,Mahogany,0,0
M1764,M17,64,M,Yellowtail,16,1
M1764,M17,64,M,Lane,0,0
M1764,M17,64,M,Mutton,0,0
M1764,M17,64,M,Schoolmaster,1,1
M1764,M17,64,M,Mahogany,0,0
M1765,M17,65,M,Yellowtail,3,1
M1765,M17,65,M,Lane,0,0
M1765,M17,65,M,Mutton,0,0
M1765,M17,65,M,Schoolmaster,0,0
M1765,M17,65,M,Mahogany,0,0
M2870,M28,70,M,Yellowtail,15,1
M2870,M28,70,M,Lane,0,0
M2870,M28,70,M,Mutton,0,0
M2870,M28,70,M,Schoolmaster,0,0
M2870,M28,70,M,Mahogany,0,0
M3837,M38,37,M,Yellowtail,4,1
M3837,M38,37,M,Lane,0,0
M3837,M38,37,M,Mutton,0,0
M3837,M38,37,M,Schoolmaster,0,0
M3837,M38,37,M,Mahogany,0,0
M3839,M38,39,M,Yellowtail,4,1
M3839,M38,39,M,Lane,0,0
M3839,M38,39,M,Mutton,0,0
M3839,M38,39,M,Schoolmaster,1,1
