site,transect,point,x,y,z
M12-53-2021,0,0,18.43403493,-18.77878545,-5.072650554
M12-53-2022,0,1,18.3501648,-18.77425461,-5.064852429
M12-53-2023,0,2,18.26629467,-18.76972376,-5.079425569
M12-53-2024,0,3,18.18242454,-18.76519292,-5.082758704
M12-53-2025,0,4,18.09855441,-18.76066207,-5.125708366
M12-53-2026,0,5,18.01468428,-18.75613123,-5.125708366
M12-53-2027,0,6,17.93081415,-18.75160038,-5.193725328
M12-53-2028,0,7,17.84694402,-18.74706954,-5.203512728
M12-53-2029,0,8,17.76307389,-18.74253869,-5.199046937
M12-53-2030,0,9,17.67920376,-18.73800785,-5.199028208
M12-53-2031,0,10,17.59533363,-18.733477,-5.207742163
M12-53-2032,0,11,17.5114635,-18.72894615,-5.224213658
M12-53-2033,0,12,17.42759337,-18.72441531,-5.24896727
M12-53-2034,0,13,17.34372324,-18.71988446,-5.250247887
M12-53-2035,0,14,17.25985311,-18.71535362,-5.246667156
M12-53-2036,0,15,17.17598298,-18.71082277,-5.271451433
M12-53-2037,0,16,17.09211284,-18.70629193,-5.272581632
M12-53-2038,0,17,17.00824271,-18.70176108,-5.262529632
M12-53-2039,0,18,16.92437258,-18.69723024,-5.256642599
M12-53-2040,0,19,16.84050245,-18.69269939,-5.246933095
M12-53-2041,0,20,16.75663232,-18.68816855,-5.232642808
M12-53-2042,0,21,16.67276219,-18.6836377,-5.225783577
M12-53-2043,0,22,16.58889206,-18.67910686,-5.207569495
M12-53-2044,0,23,16.50502193,-18.67457601,-5.171293779
M12-53-2045,0,24,16.4211518,-18.67004517,-5.149766888
M12-53-2046,0,25,16.33728167,-18.66551432,-5.125988428
M12-53-2047,0,26,16.25341154,-18.66098348,-5.10998951
M12-53-2048,0,27,16.16954141,-18.65645263,-5.115192784
M12-53-2049,0,28,16.08567128,-18.65192179,-5.125216022
M12-53-2050,0,29,16.00180115,-18.64739094,-5.110651394
M12-53-2051,0,30,15.91793102,-18.6428601,-5.104117814
M12-53-2052,0,31,15.83406089,-18.63832925,-5.077047451
M12-53-2053,0,32,15.75019076,-18.63379841,-5.092269495
M12-53-2054,0,33,15.66632063,-18.62926756,-5.147476514
M12-53-2055,0,34,15.5824505,-18.62473672,-5.095643634
M12-53-2056,0,35,15.49858037,-18.62020587,-5.082231598
M12-53-2057,0,36,15.41471024,-18.61567502,-5.082231598
M12-53-2058,0,37,15.33084011,-18.61114418,-5.071869472
M12-53-2059,0,38,15.24696998,-18.60661333,-5.071869472
M12-53-2060,0,39,15.16309985,-18.60208249,-5.080484943
M12-53-2061,0,40,15.07922972,-18.59755164,-5.06200093
M12-53-2062,0,41,14.99535958,-18.5930208,-5.040601891
M12-53-2063,0,42,14.91148945,-18.58848995,-5.04609422
M12-53-2064,0,43,14.82761932,-18.58395911,-5.043341274
M12-53-2065,0,44,14.74374919,-18.57942826,-5.043977668
M12-53-2066,0,45,14.65987906,-18.57489742,-5.131176342
M12-53-2067,0,46,14.57600893,-18.57036657,-5.144959533
M12-53-2068,0,47,14.4921388,-18.56583573,-5.14648088
M12-53-2069,0,48,14.40826867,-18.56130488,-5.128573344
M12-53-2070,0,49,14.32439854,-18.55677404,-5.096376781
M12-53-2071,0,50,14.24052841,-18.55224319,-5.018684431
M12-53-2072,0,51,14.15665828,-18.54771235,-5.002579164
M12-53-2073,0,52,14.07278815,-18.5431815,-4.935780834
M12-53-2074,0,53,13.98891802,-18.53865066,-4.934686113
M12-53-2075,0,54,13.90504789,-18.53411981,-4.934686113
M12-53-2076,0,55,13.82117776,-18.52958897,-5.0038877
M12-53-2077,0,56,13.73730763,-18.52505812,-5.001497773
M12-53-2078,0,57,13.6534375,-18.52052728,-4.985832922
M12-53-2079,0,58,13.56956737,-18.51599643,-4.973990726
M12-53-2080,0,59,13.48569724,-18.51146559,-4.961868603
M12-53-2081,0,60,13.40182711,-18.50693474,-4.959466271
M12-53-2082,0,61,13.31795698,-18.50240389,-4.95733485
M12-53-2083,0,62,13.23408685,-18.49787305,-4.958297343
M12-53-2084,0,63,13.15021672,-18.4933422,-4.880316692
M12-53-2085,0,64,13.06634659,-18.48881136,-4.892102346
M12-53-2086,0,65,12.98247646,-18.48428051,-4.831589505
M12-53-2087,0,66,12.89860633,-18.47974967,-4.744158984
M12-53-2088,0,67,12.81473619,-18.47521882,-4.726425385
M12-53-2089,0,68,12.73086606,-18.47068798,-4.732811301
M12-53-2090,0,69,12.64699593,-18.46615713,-4.735441821
M12-53-2091,0,70,12.5631258,-18.46162629,-4.735441821
M12-53-2092,0,71,12.47925567,-18.45709544,-4.764640372
M12-53-2093,0,72,12.39538554,-18.4525646,-4.883007859
M12-53-2094,0,73,12.31151541,-18.44803375,-4.879483878
M12-53-2095,0,74,12.22764528,-18.44350291,-4.86681512
M12-53-2096,0,75,12.14377515,-18.43897206,-4.832736435
M12-53-2097,0,76,12.05990502,-18.43444122,-4.832736435
M12-53-2098,0,77,11.97603489,-18.42991037,-4.842376559
M12-53-2099,0,78,11.89216476,-18.42537953,-4.842376559
M12-53-2100,0,79,11.80829463,-18.42084868,-4.87899206
M12-53-2101,0,80,11.7244245,-18.41631784,-4.890838838
M12-53-2102,0,81,11.64055437,-18.41178699,-4.888264362
M12-53-2103,0,82,11.55668424,-18.40725615,-4.883843429
M12-53-2104,0,83,11.47281411,-18.4027253,-4.887744202
M12-53-2105,0,84,11.38894398,-18.39819446,-4.888844671
M12-53-2106,0,85,11.30507385,-18.39366361,-4.86862896
M12-53-2107,0,86,11.22120372,-18.38913276,-4.925456751
M12-53-2108,0,87,11.13733359,-18.38460192,-4.964110904
M12-53-2109,0,88,11.05346346,-18.38007107,-4.968282662
M12-53-2110,0,89,10.96959333,-18.37554023,-4.972865166
M12-53-2111,0,90,10.8857232,-18.37100938,-4.993730264
M12-53-2112,0,91,10.80185307,-18.36647854,-4.992722752
M12-53-2113,0,92,10.71798293,-18.36194769,-4.992722752
M12-53-2114,0,93,10.6341128,-18.35741685,-5.037392999
M12-53-2115,0,94,10.55024267,-18.352886,-5.053737758
M12-53-2116,0,95,10.46637254,-18.34835516,-5.084716503
M12-53-2117,0,96,10.38250241,-18.34382431,-5.080812295
M12-53-2118,0,97,10.29863228,-18.33929347,-5.080812295
M12-53-2119,0,98,10.21476215,-18.33476262,-5.084844031
M12-53-2120,0,99,10.13089202,-18.33023178,-5.085698754
M12-53-2121,1,0,18.46251453,-18.25160178,-4.990768665
M12-53-2122,1,1,18.3786444,-18.24707093,-5.107189069
M12-53-2123,1,2,18.29477427,-18.24254008,-5.132122993
M12-53-2124,1,3,18.21090414,-18.23800924,-5.155110151
M12-53-2125,1,4,18.12703401,-18.23347839,-5.163980433
M12-53-2126,1,5,18.04316388,-18.22894755,-5.216312716
M12-53-2127,1,6,17.95929375,-18.2244167,-5.264481655
M12-53-2128,1,7,17.87542362,-18.21988586,-5.299352612
M12-53-2129,1,8,17.79155349,-18.21535501,-5.299352612
M12-53-2130,1,9,17.70768336,-18.21082417,-5.295139266
M12-53-2131,1,10,17.62381323,-18.20629332,-5.303161166
M12-53-2132,1,11,17.5399431,-18.20176248,-5.31170469
M12-53-2133,1,12,17.45607296,-18.19723163,-5.314947834
M12-53-2134,1,13,17.37220283,-18.19270079,-5.315515755
M12-53-2135,1,14,17.2883327,-18.18816994,-5.302570742
M12-53-2136,1,15,17.20446257,-18.1836391,-5.265837229
M12-53-2137,1,16,17.12059244,-18.17910825,-5.238028765
M12-53-2138,1,17,17.03672231,-18.17457741,-4.849086242
M12-53-2139,1,18,16.95285218,-18.17004656,-4.849086242
M12-53-2140,1,19,16.86898205,-18.16551572,-4.707557296
M12-53-2141,1,20,16.78511192,-18.16098487,-4.707557296
M12-53-2142,1,21,16.70124179,-18.15645403,-4.828938851
M12-53-2143,1,22,16.61737166,-18.15192318,-5.159721373
M12-53-2144,1,23,16.53350153,-18.14739234,-5.138129571
M12-53-2145,1,24,16.4496314,-18.14286149,-5.107589839
M12-53-2146,1,25,16.36576127,-18.13833065,-5.095940488
M12-53-2147,1,26,16.28189114,-18.1337998,-5.090359952
M12-53-2148,1,27,16.19802101,-18.12926895,-5.090359952
M12-53-2149,1,28,16.11415088,-18.12473811,-5.095495478
M12-53-2150,1,29,16.03028075,-18.12020726,-5.083414694
M12-53-2151,1,30,15.94641062,-18.11567642,-5.046709472
M12-53-2152,1,31,15.86254049,-18.11114557,-5.040800557
M12-53-2153,1,32,15.77867036,-18.10661473,-5.052531856
M12-53-2154,1,33,15.69480023,-18.10208388,-5.05547623
M12-53-2155,1,34,15.6109301,-18.09755304,-5.063237473
M12-53-2156,1,35,15.52705997,-18.09302219,-5.140820248
M12-53-2157,1,36,15.44318984,-18.08849135,-5.096634502
M12-53-2158,1,37,15.3593197,-18.0839605,-5.096634502
M12-53-2159,1,38,15.27544957,-18.07942966,-5.10444029
M12-53-2160,1,39,15.19157944,-18.07489881,-5.052902626
M12-53-2161,1,40,15.10770931,-18.07036797,-5.020908378
M12-53-2162,1,41,15.02383918,-18.06583712,-4.996070756
M12-53-2163,1,42,14.93996905,-18.06130628,-5.002372058
M12-53-2164,1,43,14.85609892,-18.05677543,-5.005031526
M12-53-2165,1,44,14.77222879,-18.05224459,-5.011338633
M12-53-2166,1,45,14.68835866,-18.04771374,-5.016836488
M12-53-2167,1,46,14.60448853,-18.0431829,-5.051693767
M12-53-2168,1,47,14.5206184,-18.03865205,-5.03001333
M12-53-2169,1,48,14.43674827,-18.03412121,-5.030023905
M12-53-2170,1,49,14.35287814,-18.02959036,-5.002633723
M12-53-2171,1,50,14.26900801,-18.02505952,-4.980646488
M12-53-2172,1,51,14.18513788,-18.02052867,-4.968594722
M12-53-2173,1,52,14.10126775,-18.01599782,-4.972840894
M12-53-2174,1,53,14.01739762,-18.01146698,-5.008881231
M12-53-2175,1,54,13.93352749,-18.00693613,-5.036173277
M12-53-2176,1,55,13.84965736,-18.00240529,-5.022029571
M12-53-2177,1,56,13.76578723,-17.99787444,-4.997551669
M12-53-2178,1,57,13.6819171,-17.9933436,-4.992362326
M12-53-2179,1,58,13.59804697,-17.98881275,-4.982216096
M12-53-2180,1,59,13.51417684,-17.98428191,-4.985261131
M12-53-2181,1,60,13.43030671,-17.97975106,-4.959410991
