SitePlot,Site,Plot,Location,Common,Taxa,MaxN
M0873,M08,73,M,Yellowtail,Snapper,5
M0874,M08,74,M,Lane,Snapper,2
M0874,M08,74,M,Yellowtail,Snapper,12
M0875,M08,75,M,Yellowtail,Snapper,10
M0876,M08,76,M,Yellowtail,Snapper,14
M1005,M10,05,M,Mutton,Snapper,9
M1005,M10,05,M,Yellowtail,Snapper,5
M1006,M10,06,M,Yellowtail,Snapper,2
M1007,M10,07,M,Yellowtail,Snapper,3
M1203,M12,03,M,Lane,Snapper,3
M1203,M12,03,M,Mutton,Snapper,1
M1203,M12,03,M,Schoolmaster,Snapper,1
M1203,M12,03,M,Yellowtail,Snapper,7
M1242,M12,42,M,Schoolmaster,Snapper,5
M1242,M12,42,M,Yellowtail,Snapper,5
M1260,M12,60,M,Lane,Snapper,1
M1260,M12,60,M,Mutton,Snapper,1
M1260,M12,60,M,Schoolmaster,Snapper,1
M1260,M12,60,M,Yellowtail,Snapper,3
M1292,M12,92,M,Lane,Snapper,1
M1292,M12,92,M,Mahogany,Snapper,1
M1292,M12,92,M,Mutton,Snapper,2
M1292,M12,92,M,Schoolmaster,Snapper,1
M1292,M12,92,M,Yellowtail,Snapper,2
M1506,M15,06,M,Lane,Snapper,1
M1506,M15,06,M,Yellowtail,Snapper,2
M1508,M15,08,M,Yellowtail,Snapper,6
M1509,M15,09,M,Yellowtail,Snapper,5
M1762,M17,62,M,Yellowtail,Snapper,5
M1764,M17,64,M,Schoolmaster,Snapper,1
M1764,M17,64,M,Yellowtail,Snapper,16
M1765,M17,65,M,Yellowtail,Snapper,3
M2870,M28,70,M,Yellowtail,Snapper,15
M3837,M38,37,M,Yellowtail,Snapper,4
M3839,M38,39,M,Schoolmaster,Snapper,1
M3839,M38,39,M,Yellowtail,Snapper,4
M3840,M38,40,M,Schoolmaster,Snapper,1
M3840,M38,40,M,Yellowtail,Snapper,1
M4338,M43,38,M,Mutton,Snapper,1
M4338,M43,38,M,Schoolmaster,Snapper,1
M4338,M43,38,M,Yellowtail,Snapper,1
M4378,M43,78,M,Mutton,Snapper,1
M4378,M43,78,M,Schoolmaster,Snapper,6
M4378,M43,78,M,Yellowtail,Snapper,3
M4380,M43,80,M,Yellowtail,Snapper,1
M4381,M43,81,M,Yellowtail,Snapper,1
M4502,M45,02,M,Yellowtail,Snapper,8
M4503,M45,03,M,Yellowtail,Snapper,7
M4504,M45,04,M,Yellowtail,Snapper,6
M4896,M48,96,M,Lane,Snapper,1
M4896,M48,96,M,Mutton,Snapper,1
M4896,M48,96,M,Yellowtail,Snapper,4
M7309,M73,09,M,Mutton,Snapper,1
M7309,M73,09,M,Schoolmaster,Snapper,5
M7309,M73,09,M,Yellowtail,Snapper,9
M7421,M74,21,M,Yellowtail,Snapper,2
M7422,M74,22,M,Yellowtail,Snapper,7
T0158,T01,58,T,Schoolmaster,Snapper,1
T0158,T01,58,T,Yellowtail,Snapper,10
T0160,T01,60,T,Yellowtail,Snapper,5
T0168,T01,68,T,Yellowtail,Snapper,7
T0473,T04,73,T,Schoolmaster,Snapper,1
T0473,T04,73,T,Yellowtail,Snapper,10
T0476,T04,76,T,Schoolmaster,Snapper,4
T0476,T04,76,T,Yellowtail,Snapper,1
T2069,T20,69,T,Yellowtail,Snapper,6
