"SitePlot","Site","Plot","Location","Common","MaxN","PA","SitePlotNew","Avg_rugosity","Rugosity_variance"
"M0873","M08","73","M","Yellowtail",5,1,"M0869",1.23744872344062,0.00914695273689883
"M0873","M08","73","M","Lane",0,0,"M0869",1.23744872344062,0.00914695273689883
"M0873","M08","73","M","Mutton",0,0,"M0869",1.23744872344062,0.00914695273689883
"M0873","M08","73","M","Schoolmaster",0,0,"M0869",1.23744872344062,0.00914695273689883
"M0873","M08","73","M","Mahogany",0,0,"M0869",1.23744872344062,0.00914695273689883
"M0874","M08","74","M","Yellowtail",12,1,"M0870",1.03594268355448,0.000455551544638589
"M0874","M08","74","M","Lane",2,1,"M0870",1.03594268355448,0.000455551544638589
"M0874","M08","74","M","Mutton",0,0,"M0870",1.03594268355448,0.000455551544638589
"M0874","M08","74","M","Schoolmaster",0,0,"M0870",1.03594268355448,0.000455551544638589
"M0874","M08","74","M","Mahogany",0,0,"M0870",1.03594268355448,0.000455551544638589
"M0875","M08","75","M","Yellowtail",10,1,"M0871",1.3108597657409,0.00628305571179994
"M0875","M08","75","M","Lane",0,0,"M0871",1.3108597657409,0.00628305571179994
"M0875","M08","75","M","Mutton",0,0,"M0871",1.3108597657409,0.00628305571179994
"M0875","M08","75","M","Schoolmaster",0,0,"M0871",1.3108597657409,0.00628305571179994
"M0875","M08","75","M","Mahogany",0,0,"M0871",1.3108597657409,0.00628305571179994
"M0876","M08","76","M","Yellowtail",14,1,"M0872",1.31605005613466,0.0113302254403821
"M0876","M08","76","M","Lane",0,0,"M0872",1.31605005613466,0.0113302254403821
"M0876","M08","76","M","Mutton",0,0,"M0872",1.31605005613466,0.0113302254403821
"M0876","M08","76","M","Schoolmaster",0,0,"M0872",1.31605005613466,0.0113302254403821
"M0876","M08","76","M","Mahogany",0,0,"M0872",1.31605005613466,0.0113302254403821
"M1005","M10","05","M","Yellowtail",5,1,"M1081",1.07000522818575,0.000773553191957711
"M1005","M10","05","M","Lane",0,0,"M1081",1.07000522818575,0.000773553191957711
"M1005","M10","05","M","Mutton",9,1,"M1081",1.07000522818575,0.000773553191957711
"M1005","M10","05","M","Schoolmaster",0,0,"M1081",1.07000522818575,0.000773553191957711
"M1005","M10","05","M","Mahogany",0,0,"M1081",1.07000522818575,0.000773553191957711
"M1006","M10","06","M","Yellowtail",2,1,"M1082",1.04248899603309,0.000273005026675029
"M1006","M10","06","M","Lane",0,0,"M1082",1.04248899603309,0.000273005026675029
"M1006","M10","06","M","Mutton",0,0,"M1082",1.04248899603309,0.000273005026675029
"M1006","M10","06","M","Schoolmaster",0,0,"M1082",1.04248899603309,0.000273005026675029
"M1006","M10","06","M","Mahogany",0,0,"M1082",1.04248899603309,0.000273005026675029
"M1007","M10","07","M","Yellowtail",3,1,"M1083",1.11225883918166,0.00130517122480165
"M1007","M10","07","M","Lane",0,0,"M1083",1.11225883918166,0.00130517122480165
"M1007","M10","07","M","Mutton",0,0,"M1083",1.11225883918166,0.00130517122480165
"M1007","M10","07","M","Schoolmaster",0,0,"M1083",1.11225883918166,0.00130517122480165
"M1007","M10","07","M","Mahogany",0,0,"M1083",1.11225883918166,0.00130517122480165
"M1203","M12","03","M","Yellowtail",7,1,"M1255",NA,NA
"M1203","M12","03","M","Lane",3,1,"M1255",NA,NA
"M1203","M12","03","M","Mutton",1,1,"M1255",NA,NA
"M1203","M12","03","M","Schoolmaster",1,1,"M1255",NA,NA
"M1203","M12","03","M","Mahogany",0,0,"M1255",NA,NA
"M1242","M12","42","M","Yellowtail",5,1,"M1253",NA,NA
"M1242","M12","42","M","Lane",0,0,"M1253",NA,NA
"M1242","M12","42","M","Mutton",0,0,"M1253",NA,NA
"M1242","M12","42","M","Schoolmaster",5,1,"M1253",NA,NA
"M1242","M12","42","M","Mahogany",0,0,"M1253",NA,NA
"M1260","M12","60","M","Yellowtail",3,1,"M1254",1.20569043279616,0.00719435635808072
"M1260","M12","60","M","Lane",1,1,"M1254",1.20569043279616,0.00719435635808072
"M1260","M12","60","M","Mutton",1,1,"M1254",1.20569043279616,0.00719435635808072
"M1260","M12","60","M","Schoolmaster",1,1,"M1254",1.20569043279616,0.00719435635808072
"M1260","M12","60","M","Mahogany",0,0,"M1254",1.20569043279616,0.00719435635808072
"M1292","M12","92","M","Yellowtail",2,1,"M1256",1.18297684894883,0.00429722669878039
"M1292","M12","92","M","Lane",1,1,"M1256",1.18297684894883,0.00429722669878039
"M1292","M12","92","M","Mutton",2,1,"M1256",1.18297684894883,0.00429722669878039
"M1292","M12","92","M","Schoolmaster",1,1,"M1256",1.18297684894883,0.00429722669878039
"M1292","M12","92","M","Mahogany",1,1,"M1256",1.18297684894883,0.00429722669878039
"M1506","M15","06","M","Yellowtail",2,1,"M1561",NA,NA
"M1506","M15","06","M","Lane",1,1,"M1561",NA,NA
"M1506","M15","06","M","Mutton",0,0,"M1561",NA,NA
